t,decode_fps,decode_ms,batch_fill_ms,batch_gap_ms,batch_size_eff,batch_timeout_hits,yolo_fps,yolo_ms,post_ms,embed_fps,embed_ms,render_fps,render_ms,upload_ms,draw_ms,q_meta,q_infer,ring_used,ring_cap
1758001341.212,60.71,16.472,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,64.7,15.456,15.093,0.0,12,0,39,64
1758001342.213,66.31,15.08,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,41.78,23.936,23.611,0.0,0,0,31,64
1758001343.214,58.58,17.071,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,74.79,13.371,13.035,0.0,7,0,29,64
1758001344.215,52.92,18.897,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,83.07,12.038,11.641,0.0,7,1,14,64
1758001345.216,81.71,12.238,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,72.97,13.704,13.341,0.0,11,0,34,64
1758001346.217,42.49,23.533,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,65.82,15.193,14.823,0.0,5,0,23,64
1758001347.217,46.63,21.444,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.63,25.236,24.902,0.0,5,0,30,64
1758001348.308,70.25,14.235,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,76.66,13.044,12.726,0.0,2,0,25,64
1758001349.309,63.65,15.71,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,61.43,16.278,16.0,0.0,1,0,23,64
1758001350.31,68.63,14.57,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,62.02,16.124,15.789,0.0,1,0,22,64
1758001351.35,78.88,12.677,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,85.27,11.727,11.386,0.0,4,0,24,64
1758001352.352,67.42,14.832,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,78.41,12.753,12.394,0.0,0,0,27,64
1758001353.396,78.06,12.81,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,67.77,14.756,14.289,0.0,2,0,27,64
1758001354.397,82.26,12.157,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,94.06,10.631,10.328,0.0,14,1,27,64
